# generated_by=fixtures/r/generate_locfit_fixtures.R
# r_version=4.6.0
# locfit_version=1.5.9.12
# columns:case,kind,index,mean,disp,expected
wide_dynamic_range,input,18,398.10717055349795,0.08734608566135868,
wide_dynamic_range,input,19,630.95734448019425,0.078653731775411989,
wide_dynamic_range,input,20,1000.0000000000016,0.066617896996935669,
wide_dynamic_range,input,21,1584.8931924611156,0.055140714406638147,
wide_dynamic_range,input,22,2511.8864315095834,0.049287598228569804,
wide_dynamic_range,input,23,3981.0717055349769,0.039928066246103448,
wide_dynamic_range,input,24,6309.5734448019384,0.037961612792617713,
wide_dynamic_range,input,25,10000.000000000009,0.033262460195380164,
wide_dynamic_range,input,26,15848.931924611146,0.025935340908426724,
wide_dynamic_range,input,27,25118.86431509586,0.021604083268199983,
wide_dynamic_range,input,28,39810.717055349814,0.019711289705668007,
wide_dynamic_range,input,29,63095.734448019459,0.016383556663756217,
wide_dynamic_range,input,30,100000.0000000002,0.015497129163589399,
wide_dynamic_range,input,31,158489.31924611164,0.012009088843495623,
wide_dynamic_range,input,32,251188.64315095844,0.010562345462535061,
wide_dynamic_range,input,33,398107.17055349785,0.0087865237372777207,
wide_dynamic_range,input,34,630957.34448019415,0.0072773895654276713,
wide_dynamic_range,input,35,999999.99999999953,0.0064530953270750839,
wide_dynamic_range,predict,0,0.10000000000000001,,0.60068618500488025
wide_dynamic_range,predict,1,1,,0.40350927402767589
wide_dynamic_range,predict,2,10,,0.24470427892330418
wide_dynamic_range,predict,3,1000,,0.066270290282786928
wide_dynamic_range,predict,4,100000,,0.014321287600321732
wide_dynamic_range,predict,5,1000000,,0.0063697630012935699
wide_extrapolation,input,0,0.10000000000000002,0.58397955275535396,
wide_extrapolation,input,1,0.1584893192461114,0.52260329330159638,
wide_extrapolation,input,2,0.25118864315095812,0.50270250789585702,
wide_extrapolation,input,3,0.39810717055349737,0.46302221799445076,
wide_extrapolation,input,4,0.63095734448019347,0.40910019645093315,
wide_extrapolation,input,5,1.0000000000000004,0.39351324758691025,
wide_extrapolation,input,6,1.584893192461114,0.36217604019859295,
wide_extrapolation,input,7,2.5118864315095815,0.33538353756955069,
wide_extrapolation,input,8,3.9810717055349745,0.31896311177740005,
wide_extrapolation,input,9,6.3095734448019378,0.28398172903511393,
wide_extrapolation,input,10,10.000000000000007,0.24549019326449481,
wide_extrapolation,input,11,15.848931924611144,0.2182463495358602,
wide_extrapolation,input,12,25.118864315095809,0.20121705853767735,
wide_extrapolation,input,13,39.810717055349734,0.17674915022923784,
wide_extrapolation,input,14,63.095734448019364,0.14789274878716455,
wide_extrapolation,input,15,100.00000000000004,0.12945416578927751,
wide_extrapolation,input,16,158.48931924611139,0.117944189973473,
wide_extrapolation,input,17,251.18864315095806,0.10428886337234225,
wide_extrapolation,input,18,398.10717055349795,0.08734608566135868,
wide_extrapolation,input,19,630.95734448019425,0.078653731775411989,
wide_extrapolation,input,20,1000.0000000000016,0.066617896996935669,
wide_extrapolation,input,21,1584.8931924611156,0.055140714406638147,
wide_extrapolation,input,22,2511.8864315095834,0.049287598228569804,
wide_extrapolation,input,23,3981.0717055349769,0.039928066246103448,
wide_extrapolation,input,24,6309.5734448019384,0.037961612792617713,
wide_extrapolation,input,25,10000.000000000009,0.033262460195380164,
wide_extrapolation,input,26,15848.931924611146,0.025935340908426724,
wide_extrapolation,input,27,25118.86431509586,0.021604083268199983,
wide_extrapolation,input,28,39810.717055349814,0.019711289705668007,
wide_extrapolation,input,29,63095.734448019459,0.016383556663756217,
wide_extrapolation,input,30,100000.0000000002,0.015497129163589399,
wide_extrapolation,input,31,158489.31924611164,0.012009088843495623,
wide_extrapolation,input,32,251188.64315095844,0.010562345462535061,
wide_extrapolation,input,33,398107.17055349785,0.0087865237372777207,
wide_extrapolation,input,34,630957.34448019415,0.0072773895654276713,
wide_extrapolation,input,35,999999.99999999953,0.0064530953270750839,
wide_extrapolation,predict,0,0.01,,0.83673101003247929
wide_extrapolation,predict,1,0.10000000000000001,,0.60068618500488025
wide_extrapolation,predict,2,1000,,0.066270290282786928
wide_extrapolation,predict,3,1000000,,0.0063697630012935699
wide_extrapolation,predict,4,10000000,,0.0027822096529807657
wide_extrapolation,predict,5,100000000,,0.0011869785207232935
edge_predictions,input,0,2,0.21946457081379978,
edge_predictions,input,1,2.6222678748431285,0.20000793290109392,
edge_predictions,input,2,3.438144403717148,0.18254935065251637,
edge_predictions,input,3,4.5078678094695812,0.16688363823612287,
edge_predictions,input,4,5.9104184704057738,0.15282668091742993,
edge_predictions,input,5,7.7493502409122597,0.14021327121045887,
edge_predictions,input,6,10.160436093826037,0.12889516724038114,
edge_predictions,input,7,13.321692581618315,0.11873935049824415,
edge_predictions,input,8,17.466523247656863,0.10962646251165668,
edge_predictions,input,9,22.900951398765624,0.10144940205806127,
edge_predictions,input,10,30.026214578163447,0.094112066434034497,
edge_predictions,input,11,39.368388945732228,0.087528221987104818,
edge_predictions,input,12,51.617230808361469,0.08162049063576482,
edge_predictions,input,13,67.677103068564634,0.076319440466531052,
edge_predictions,input,14,88.733746619572216,0.071562769720093067,
edge_predictions,input,15,116.34182658748706,0.067294574576169497,
edge_predictions,input,16,152.53971718046878,0.063464692131551079,
edge_predictions,input,17,199.99999999999991,0.060028110849535778,
edge_predictions,predict,0,0.5,,0.36846083780576766
edge_predictions,predict,1,2,,0.21963761781674232
edge_predictions,predict,2,15,,0.11460371342090056
edge_predictions,predict,3,199.99999999999991,,0.060024079299931012
edge_predictions,predict,4,800,,0.046972017721371467
five_weighted_points,input,0,1,0.62,
five_weighted_points,input,1,2,0.40999999999999998,
five_weighted_points,input,2,6,0.20999999999999999,
five_weighted_points,input,3,30,0.085000000000000006,
five_weighted_points,input,4,150,0.044999999999999998,
five_weighted_points,predict,0,0.5,,0.77747061947287099
five_weighted_points,predict,1,1,,0.62000000000020261
five_weighted_points,predict,2,3,,0.2978871178178204
five_weighted_points,predict,3,15,,0.11564668026313865
five_weighted_points,predict,4,80,,0.057910246932980712
five_weighted_points,predict,5,300,,0.040015023922985275
seven_weighted_points,input,0,1,0.57999999999999996,
seven_weighted_points,input,1,1.8,0.44,
seven_weighted_points,input,2,3.5,0.31,
seven_weighted_points,input,3,7,0.20999999999999999,
seven_weighted_points,input,4,20,0.105,
seven_weighted_points,input,5,60,0.062,
seven_weighted_points,input,6,180,0.037999999999999999,
seven_weighted_points,predict,0,0.69999999999999996,,0.68164155725195796
seven_weighted_points,predict,1,1,,0.58000000437259236
seven_weighted_points,predict,2,2.5,,0.37168879093497575
seven_weighted_points,predict,3,10,,0.16826931008327017
seven_weighted_points,predict,4,40,,0.074584471227988017
seven_weighted_points,predict,5,180,,0.038000000000101071
seven_weighted_points,predict,6,500,,0.025202100606431039
repeated_means,input,0,1,0.55000000000000004,
repeated_means,input,1,1,0.5,
repeated_means,input,2,1,0.52000000000000002,
repeated_means,input,3,3,0.34000000000000002,
repeated_means,input,4,3,0.31,
repeated_means,input,5,10,0.22,
repeated_means,input,6,30,0.12,
repeated_means,input,7,30,0.14000000000000001,
repeated_means,input,8,100,0.070000000000000007,
repeated_means,input,9,300,0.050000000000000003,
repeated_means,input,10,300,0.051999999999999998,
repeated_means,input,11,1000,0.029999999999999999,
repeated_means,predict,0,1,,0.52293215932501669
repeated_means,predict,1,2,,0.38190830962567307
repeated_means,predict,2,3,,0.32725568802674798
repeated_means,predict,3,30,,0.1281789465740131
repeated_means,predict,4,300,,0.050064259371425196
repeated_means,predict,5,1000,,0.030087343445331358
clustered_repeated_means,input,0,1,0.59999999999999998,
clustered_repeated_means,input,1,1,0.55000000000000004,
clustered_repeated_means,input,2,2,0.41999999999999998,
clustered_repeated_means,input,3,2,0.39000000000000001,
clustered_repeated_means,input,4,4,0.27000000000000002,
clustered_repeated_means,input,5,8,0.17999999999999999,
clustered_repeated_means,input,6,8,0.19,
clustered_repeated_means,input,7,16,0.12,
clustered_repeated_means,input,8,64,0.059999999999999998,
clustered_repeated_means,input,9,256,0.035000000000000003,
clustered_repeated_means,predict,0,0.5,,0.80506690146041349
clustered_repeated_means,predict,1,1,,0.57445626949833428
clustered_repeated_means,predict,2,2,,0.40472212691250065
clustered_repeated_means,predict,3,5,,0.23892621828805266
clustered_repeated_means,predict,4,8,,0.1842132484028704
clustered_repeated_means,predict,5,32,,0.083543249814787987
clustered_repeated_means,predict,6,256,,0.035001108574201842
clustered_repeated_means,predict,7,512,,0.028259038437974879
few_points,input,0,2,0.40000000000000002,
few_points,input,1,5,0.25,
few_points,input,2,20,0.10000000000000001,
few_points,input,3,100,0.059999999999999998,
few_points,predict,0,2,,0.40000000000000002
few_points,predict,1,10,,0.20717049640480428
few_points,predict,2,50,,0.072754767271804077
few_points,predict,3,100,,0.059999999999999998
filtered_min_disp,input,0,1,2.0000000000000001e-09,
filtered_min_disp,input,1,2,5.0000000000000001e-09,
filtered_min_disp,input,2,5,8.0000000000000005e-09,
filtered_min_disp,input,3,10,0.11,
filtered_min_disp,input,4,20,0.080000000000000002,
filtered_min_disp,input,5,50,0.050000000000000003,
filtered_min_disp,input,6,100,0.029999999999999999,
filtered_min_disp,input,7,200,0.02,
filtered_min_disp,input,8,500,0.014999999999999999,
filtered_min_disp,input,9,1000,0.01,
filtered_min_disp,predict,0,10,,0.1100000014273344
filtered_min_disp,predict,1,50,,0.049572198654013806
filtered_min_disp,predict,2,200,,0.020009763405300963
filtered_min_disp,predict,3,1000,,0.010000000000160977
constant_min_disp,input,0,1,1.0000000000000001e-09,
constant_min_disp,input,1,2,2.0000000000000001e-09,
constant_min_disp,input,2,5,3e-09,
constant_min_disp,input,3,10,4.0000000000000002e-09,
constant_min_disp,input,4,50,5.0000000000000001e-09,
constant_min_disp,input,5,100,8.0000000000000005e-09,
constant_min_disp,predict,0,1,,1e-08
constant_min_disp,predict,1,10,,1e-08
constant_min_disp,predict,2,100,,1e-08
constant_min_disp,predict,3,1000,,1e-08
